Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0603_1608Metric",103.600000,-80.600000,0.000000,top
"C2","4u7","C_0603_1608Metric",101.050000,-76.700000,90.000000,top
"C3","4u7","C_0603_1608Metric",99.550000,-76.700000,90.000000,top
"C4","10u","C_0805_2012Metric",96.500000,-76.100000,180.000000,top
"C5","100n","C_0402_1005Metric",107.035000,-81.350000,0.000000,top
"C6","100n","C_0402_1005Metric",93.800000,-78.300000,0.000000,top
"C7","1u","C_0603_1608Metric",99.000000,-83.500000,90.000000,top
"C8","100n","C_0402_1005Metric",95.800000,-87.600000,0.000000,top
"C9","4u7","C_0603_1608Metric",81.650000,-83.500000,0.000000,top
"C10","4u7","C_0603_1608Metric",87.000000,-105.650000,180.000000,top
"C11","1u","C_0603_1608Metric",83.000000,-102.150000,180.000000,top
"C12","4u7","C_0603_1608Metric",90.000000,-92.150000,0.000000,top
"C13","160p","C_0402_1005Metric",91.500000,-94.400000,180.000000,top
"C14","4u7","C_0603_1608Metric",85.212500,-92.150000,180.000000,top
"C15","26p","C_0402_1005Metric",83.750000,-94.400000,180.000000,top
"C16","22u","C_0805_2012Metric",84.650000,-87.250000,270.000000,top
"C17","22u","C_0805_2012Metric",114.900000,-106.900000,90.000000,top
"C18","100n","C_0402_1005Metric",113.000000,-113.300000,270.000000,top
"C19","100n","C_0402_1005Metric",114.600000,-98.300000,90.000000,top
"C20","100n","C_0402_1005Metric",115.600000,-100.800000,270.000000,top
"C21","10u","C_0805_2012Metric",117.100000,-101.300000,270.000000,top
"C22","220n","C_0402_1005Metric",113.600000,-102.850000,90.000000,top
"C23","1u","C_0603_1608Metric",112.600000,-107.100000,90.000000,top
"D1","BAS40","D_SOT-23_ANK",89.000000,-96.650000,90.000000,top
"D2","BAS40","D_SOT-23_ANK",85.250000,-96.650000,270.000000,top
"D3","BAS40","D_SOT-23_ANK",96.500000,-78.850000,0.000000,top
"D6","DSS14UTR","D_SOD-123F",84.200000,-79.800000,0.000000,top
"L1","33u","L_1008_2520Metric",89.750000,-100.400000,90.000000,top
"L2","1u","L_0603_1608Metric",81.750000,-97.650000,180.000000,top
"Q1","2N7002P","SOT-23",116.300000,-84.300000,180.000000,top
"R1","1","R_0805_2012Metric",93.800000,-81.100000,90.000000,top
"R2","3k3","R_0402_1005Metric",93.800000,-83.850000,90.000000,top
"R3","1k","R_0402_1005Metric",117.800000,-89.700000,270.000000,top
"R4","10k","R_0402_1005Metric",86.250000,-103.900000,90.000000,top
"R5","10k","R_0402_1005Metric",84.000000,-100.400000,90.000000,top
"R6","1k","R_0402_1005Metric",89.500000,-94.400000,180.000000,top
"R7","75k","R_0402_1005Metric",89.500000,-93.400000,180.000000,top
"R8","1k","R_0402_1005Metric",85.750000,-94.400000,180.000000,top
"R9","83k","R_0402_1005Metric",85.750000,-93.400000,180.000000,top
"R10","1k","R_0402_1005Metric",95.300000,-81.600000,270.000000,top
"R11","1k2","R_0402_1005Metric",97.700000,-81.600000,90.000000,top
"R12","49.9","R_0402_1005Metric",100.300000,-83.000000,270.000000,top
"R13","49.9","R_0402_1005Metric",92.400000,-103.400000,270.000000,top
"R14","49.9","R_0402_1005Metric",92.500000,-113.300000,90.000000,top
"R15","10k","R_0402_1005Metric",92.000000,-109.800000,270.000000,top
"R16","100k","R_0201_0603Metric",82.900000,-85.000000,270.000000,top
"R17","10k","R_0402_1005Metric",112.600000,-109.700000,90.000000,top
"U1","R1283K001C","R1283x",86.500000,-101.150000,270.000000,top
"U2","EPC611","EPC611",100.300000,-80.100000,90.000000,top
