Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0603_1608Metric",108.300000,-90.500000,0.000000,top
"C2","4u7","C_0603_1608Metric",105.750000,-86.600000,90.000000,top
"C3","4u7","C_0603_1608Metric",104.250000,-86.600000,90.000000,top
"C4","10u","C_0805_2012Metric",101.200000,-86.000000,180.000000,top
"C5","100n","C_0402_1005Metric",111.735000,-91.250000,0.000000,top
"C6","100n","C_0402_1005Metric",98.500000,-88.200000,0.000000,top
"C7","1u","C_0603_1608Metric",103.700000,-93.400000,90.000000,top
"C8","100n","C_0402_1005Metric",104.100000,-100.400000,0.000000,top
"C9","4u7","C_0603_1608Metric",88.250000,-78.000000,0.000000,top
"C10","4u7","C_0603_1608Metric",97.250000,-79.000000,90.000000,top
"C11","1u","C_0603_1608Metric",100.750000,-75.000000,90.000000,top
"C12","4u7","C_0603_1608Metric",110.750000,-82.000000,270.000000,top
"C13","160p","C_0402_1005Metric",108.500000,-83.500000,90.000000,top
"C14","4u7","C_0603_1608Metric",110.750000,-77.212500,90.000000,top
"C15","26p","C_0402_1005Metric",108.500000,-75.750000,90.000000,top
"C16","22u","C_0805_2012Metric",91.250000,-81.750000,270.000000,top
"C17","1u","C_0603_1608Metric",99.900000,-110.700000,270.000000,top
"C18","100n","C_0402_1005Metric",89.500000,-106.200000,180.000000,top
"C19","100n","C_0402_1005Metric",100.600000,-106.600000,0.000000,top
"C20","100n","C_0402_1005Metric",97.600000,-111.100000,270.000000,top
"C21","100n","C_0402_1005Metric",102.500000,-105.700000,0.000000,top
"C22","100n","C_0402_1005Metric",93.300000,-100.700000,90.000000,top
"C23","100n","C_0402_1005Metric",94.000000,-111.100000,270.000000,top
"C24","100n","C_0402_1005Metric",98.600000,-110.800000,270.000000,top
"C25","1u","C_0603_1608Metric",100.600000,-108.400000,0.000000,top
"C26","100n","C_0402_1005Metric",100.600000,-105.400000,0.000000,top
"C27","100n","C_0402_1005Metric",87.500000,-106.600000,180.000000,top
"C28","6p","C_0402_1005Metric",86.700000,-105.200000,180.000000,top
"C29","6p","C_0402_1005Metric",90.400000,-102.000000,90.000000,top
"C30","100n","C_0402_1005Metric",104.500000,-105.700000,180.000000,top
"C31","100n","C_0402_1005Metric",84.900000,-98.300000,270.000000,top
"C32","100n","C_0402_1005Metric",83.900000,-95.800000,90.000000,top
"C33","10u","C_0805_2012Metric",82.400000,-95.300000,90.000000,top
"C34","220n","C_0402_1005Metric",85.900000,-93.750000,270.000000,top
"C35","100n","C_0402_1005Metric",98.600000,-101.200000,90.000000,top
"D1","BAS40","D_SOT-23_ANK",106.250000,-81.000000,0.000000,top
"D2","BAS40","D_SOT-23_ANK",106.250000,-77.250000,180.000000,top
"D3","BAS40","D_SOT-23_ANK",101.200000,-88.750000,0.000000,top
"D4","SFH_4718A","LED_SFH_4718A",95.000000,-90.000000,180.000000,top
"D5","SFH_4718A","LED_SFH_4718A",115.000000,-90.000000,0.000000,top
"D6","DSS14UTR","D_SOD-123F",91.900000,-74.300000,0.000000,top
"J3","USB_B_Micro","USB_Micro-B_Molex-105017-0001",108.300000,-111.200000,0.000000,top
"L1","33u","L_1008_2520Metric",102.500000,-81.750000,0.000000,top
"L2","1u","L_0603_1608Metric",105.250000,-73.750000,90.000000,top
"Q1","2N7002P","SOT-23",90.600000,-94.800000,180.000000,top
"R1","1","R_0805_2012Metric",98.500000,-91.000000,90.000000,top
"R2","3k3","R_0402_1005Metric",98.500000,-93.750000,90.000000,top
"R3","1k","R_0402_1005Metric",92.100000,-100.200000,270.000000,top
"R4","10k","R_0402_1005Metric",99.000000,-78.250000,0.000000,top
"R5","10k","R_0402_1005Metric",102.500000,-76.000000,0.000000,top
"R6","1k","R_0402_1005Metric",108.500000,-81.500000,90.000000,top
"R7","75k","R_0402_1005Metric",109.500000,-81.500000,90.000000,top
"R8","1k","R_0402_1005Metric",108.500000,-77.750000,90.000000,top
"R9","83k","R_0402_1005Metric",109.500000,-77.750000,90.000000,top
"R10","1k","R_0402_1005Metric",100.000000,-91.500000,270.000000,top
"R11","1k2","R_0402_1005Metric",102.400000,-91.500000,90.000000,top
"R12","49.9","R_0402_1005Metric",105.000000,-92.900000,270.000000,top
"R13","49.9","R_0402_1005Metric",95.700000,-100.900000,270.000000,top
"R14","49.9","R_0402_1005Metric",96.800000,-100.900000,270.000000,top
"R15","10k","R_0402_1005Metric",89.500000,-107.800000,180.000000,top
"R16","27.4","R_0402_1005Metric",103.100000,-106.800000,0.000000,top
"R17","27.4","R_0402_1005Metric",103.100000,-107.800000,0.000000,top
"R18","1k","R_0402_1005Metric",100.100000,-102.000000,180.000000,top
"R19","1k","R_0402_1005Metric",88.900000,-105.200000,180.000000,top
"R20","0","R_0805_2012Metric",100.250000,-96.750000,270.000000,top
"R21","100k","R_0201_0603Metric",89.500000,-79.500000,270.000000,top
"R22","10k","R_0402_1005Metric",94.600000,-98.500000,270.000000,top
"U1","R1283K001C","R1283x",101.750000,-78.500000,180.000000,top
"U2","EPC611","EPC611",105.000000,-90.000000,90.000000,top
"U3","RP2040","RP2040",95.000000,-106.000000,270.000000,top
"U4","W25Q32JVZP","WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm",108.900000,-103.700000,180.000000,top
"U5","TPSM828214SILR","TPSM828214SILR",91.125000,-78.500001,0.000000,top
"U6","LSM303AGRTR","LSM303AGRTR",85.650000,-96.000000,180.000000,top
"Y1","ECS-2333-040-BN-TR","OSC_ECS-2333-040-BN-TR",104.600000,-97.800000,90.000000,top
"Y2","ECS-120-8-36B-CWY-TR","XTAL_ECS-120-8-36B-CWY-TR",88.100000,-103.200000,180.000000,top
